id,payerEntityName,payerEntityAbn,payerEntityAcnArbn,payeeEntityName,payeeEntityAbn,payeeEntityAcnArbn,paymentAmount,description,supplyDate,paymentDate,contractPoReferenceNumber,contractPoPaymentTerms,noticeForPaymentIssueDate,noticeForPaymentTerms,invoiceReferenceNumber,invoiceIssueDate,invoiceReceiptDate,invoicePaymentTerms,invoiceDueDate,isTcp,tcpExclusion,peppolEnabled,rcti,creditCardPayment,creditCardNumber,partialPayment,paymentTerm,excludedTcp,notes,isSb,createdBy,updatedBy,createdAt,updatedAt,reportId
7,"AusSubCo 1",11111111111,111111111,"Supplier 6",11498108491,498108491,68373.00,"Purchase of Goods","2024-08-06 00:00:00","2024-08-10 00:00:00",NULL,NULL,NULL,NULL,INV-571,"2024-08-07 00:00:00","2024-08-12 00:00:00",NULL,"2024-08-23 00:00:00",1,NULL,1,0,1,1234123412341234,0,0,0,"The payment was made using a credit card that is subject to an internal policy that prohibits the use of the credit card to make payments under a trade credit arrangement (i.e. card only allowed to be used for point-of-sale transactions). Accordingly, it can be excluded from the dataset.",1,4,4,"2025-05-02 08:49:22","2025-05-02 10:34:56",1
9,"AusSubCo 1",11111111111,111111111,"USA Supplier",NULL,NULL,1682.00,"Purchase of goods","2024-09-25 00:00:00","2024-11-14 00:00:00",NULL,NULL,NULL,NULL,INV-688,"2024-10-02 00:00:00",NULL,"Net 30",NULL,1,NULL,1,0,0,,0,0,0,"no abn",1,4,4,"2025-05-02 08:49:22","2025-05-02 09:19:30",1
11,"AusSubCo 1",11111111111,111111111,"AusSubCo 2",22222222222,222222222,20477.00,"Intra-Group Purchase of Goods","2024-07-14 00:00:00","2024-08-05 00:00:00",NULL,NULL,NULL,NULL,INV-991,"2024-07-17 00:00:00","2024-07-17 00:00:00",NULL,"2024-08-05 00:00:00",1,NULL,1,0,0,,0,0,0,"The payment was made to AusSubCo2 and is therefore an intra-group payment. Accordingly, it is excluded from the dataset.",1,4,4,"2025-05-02 08:49:22","2025-05-02 10:34:38",1
20,"AusSubCo 2",22222222222,222222222,"AusSubCo 1",11111111111,111111111,24883.00,"Intra-Group Purchase of Goods","2024-06-14 00:00:00","2024-07-05 00:00:00",NULL,NULL,NULL,NULL,INV-34204,"2024-06-17 00:00:00","2024-06-17 00:00:00",NULL,"2024-07-05 00:00:00",1,NULL,1,0,0,,0,0,0,"The payment was made to AusSubCo1 and is therefore an intra-group payment. Accordingly, it is excluded from the dataset.",1,4,4,"2025-05-02 08:49:22","2025-05-02 10:35:55",1
23,"AusSubCo 2",22222222222,222222222,"Supplier 1",87963151792,963151792,21881.00,"Purchase of goods","2024-07-16 00:00:00","2024-08-05 00:00:00",C-2023-012,"Net 30",NULL,NULL,INV-2017,"2024-07-17 00:00:00","2024-07-19 00:00:00","Net 30",NULL,1,NULL,1,0,1,1234432143211234,0,0,0,"The payment was made using a credit card that is subject to an internal policy that prohibits the use of the credit card to make payments under a trade credit arrangement (i.e. card only allowed to be used for point-of-sale transactions). Accordingly, it is excluded from the dataset.",1,4,4,"2025-05-02 08:49:22","2025-05-02 10:36:11",1
42,"AusSubCo 2",22222222222,222222222,"NZ Supplier",NULL,NULL,10702.00,"Purchase of goods","2024-09-25 00:00:00","2024-10-14 00:00:00",NULL,NULL,NULL,NULL,INV-99811,"2024-09-26 00:00:00",NULL,"Net 60",NULL,1,NULL,1,0,0,,0,0,0,"no abn",1,4,4,"2025-05-02 08:49:22","2025-05-02 10:31:29",1
45,"NZ SubCo",NULL,NULL,"NZ Supplier",NULL,NULL,29231.00,"Purchase of goods","2024-08-10 00:00:00","2024-08-28 00:00:00",NULL,NULL,NULL,NULL,INV-56209,"2024-08-11 00:00:00",NULL,"Net 14",NULL,1,NULL,0,0,0,,0,0,0,"no abn",1,4,4,"2025-05-02 08:49:22","2025-05-02 10:43:04",1
54,"NZ SubCo",NULL,NULL,"NZ Supplier",NULL,NULL,18222.00,"Purchase of goods","2024-10-26 00:00:00","2024-11-03 00:00:00",NULL,NULL,NULL,NULL,INV-60844,"2024-11-26 00:00:00",NULL,"Net 14",NULL,1,NULL,0,0,0,,0,0,0,"no abn",1,4,4,"2025-05-02 08:49:22","2025-05-02 10:37:43",1
57,"NZ SubCo",NULL,NULL,"NZ Supplier",NULL,NULL,83282.00,"Purchase of goods","2024-10-25 00:00:00","2024-11-02 00:00:00",NULL,NULL,NULL,NULL,INV-60843,"2024-10-26 00:00:00",NULL,"Net 14",NULL,1,NULL,0,0,0,,0,0,0,"no abn",1,4,4,"2025-05-02 08:49:22","2025-05-02 10:37:43",1
59,"NZ SubCo",NULL,NULL,"NZ Supplier",NULL,NULL,46591.00,"Purchase of goods","2024-06-25 00:00:00","2024-07-14 00:00:00",NULL,NULL,NULL,NULL,INV-44021,"2024-06-25 00:00:00",NULL,"Net 14",NULL,1,NULL,0,0,0,,0,0,0,"no abn",1,4,4,"2025-05-02 08:49:22","2025-05-02 10:37:25",1
