id,payerEntityName,payerEntityAbn,payerEntityAcnArbn,payeeEntityName,payeeEntityAbn,payeeEntityAcnArbn,paymentAmount,description,supplyDate,paymentDate,contractPoReferenceNumber,contractPoPaymentTerms,noticeForPaymentIssueDate,noticeForPaymentTerms,invoiceReferenceNumber,invoiceIssueDate,invoiceReceiptDate,invoicePaymentTerms,invoiceDueDate,isTcp,tcpExclusion,peppolEnabled,rcti,creditCardPayment,creditCardNumber,partialPayment,paymentTerm,excludedTcp,notes,isSb,createdBy,updatedBy,createdAt,updatedAt,reportId
1,"AusSubCo 1",11111111111,111111111,"Supplier 1",87963151792,963151792,34552.00,"Purchase of goods","2024-06-03 00:00:00","2024-07-03 00:00:00",C-2023-012,"Net 30",NULL,NULL,INV-1658,"2024-06-05 00:00:00","2024-06-05 00:00:00","Net 30",NULL,1,NULL,1,0,0,NULL,0,NULL,0,NULL,1,4,NULL,"2025-05-02 08:49:22","2025-05-02 08:49:22",1
2,"AusSubCo 2",22222222222,222222222,"Supplier 6",11498108491,498108491,70073.00,"Purchase of Goods","2024-06-28 00:00:00","2024-07-03 00:00:00",NULL,NULL,NULL,NULL,INV-3041,"2024-06-28 00:00:00",NULL,Immediate,NULL,1,NULL,1,0,0,NULL,0,NULL,0,NULL,1,4,NULL,"2025-05-02 08:49:22","2025-05-02 08:49:22",1
3,"AusSubCo 1",11111111111,111111111,"Supplier 8",58532774186,532774186,5000.00,"IT support service fees","2024-06-30 00:00:00","2024-07-05 00:00:00","C 2024-29","Net 7",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,1,0,0,NULL,0,NULL,0,NULL,1,4,NULL,"2025-05-02 08:49:22","2025-05-02 08:49:22",1
4,"AusSubCo 1",11111111111,111111111,"Supplier 2",82493337096,493337096,20000.00,"Batch payment - Purchase of goods","2024-06-15 00:00:00","2024-07-12 00:00:00","PO-154 ","Net 30",NULL,NULL,INV-2154,"2024-06-15 00:00:00",NULL,"Net 30",NULL,1,NULL,1,0,0,NULL,0,NULL,0,NULL,1,4,NULL,"2025-05-02 08:49:22","2025-05-02 08:49:22",1
5,"AusSubCo 1",11111111111,111111111,"Supplier 2",82493337096,493337096,10000.00,"Batch payment - Purchase of goods","2024-06-30 00:00:00","2024-07-12 00:00:00","PO-154 ","Net 30",NULL,NULL,INV-2232,"2024-06-30 00:00:00",NULL,"Net 30",NULL,1,NULL,1,0,0,NULL,0,NULL,0,NULL,1,4,NULL,"2025-05-02 08:49:22","2025-05-02 08:49:22",1
6,"AusSubCo 1",11111111111,111111111,"SGP Parent",NULL,NULL,500000.00,"Royalty payment",NULL,"2024-08-30 00:00:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,1,0,0,NULL,0,NULL,0,NULL,1,4,4,"2025-05-02 08:49:22","2025-05-02 08:53:53",1
7,"AusSubCo 1",11111111111,111111111,"Supplier 6",11498108491,498108491,68373.00,"Purchase of Goods","2024-08-06 00:00:00","2024-08-10 00:00:00",NULL,NULL,NULL,NULL,INV-571,"2024-08-07 00:00:00","2024-08-12 00:00:00",NULL,"2024-08-23 00:00:00",1,NULL,1,0,0,NULL,0,NULL,0,NULL,1,4,NULL,"2025-05-02 08:49:22","2025-05-02 08:49:22",1
8,"AusSubCo 1",11111111111,111111111,"Employee 2",NULL,NULL,2000.00,"Salary sacrifice (employee benefit)",NULL,"2024-08-28 00:00:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,1,0,0,NULL,0,NULL,0,NULL,1,4,4,"2025-05-02 08:49:22","2025-05-02 08:53:53",1
9,"AusSubCo 1",11111111111,111111111,"USA Supplier",NULL,NULL,1682.00,"Purchase of goods","2024-09-25 00:00:00","2024-11-14 00:00:00",NULL,NULL,NULL,NULL,INV-688,"2024-10-02 00:00:00",NULL,"Net 30",NULL,1,NULL,1,0,0,NULL,0,NULL,0,NULL,1,4,NULL,"2025-05-02 08:49:22","2025-05-02 08:49:22",1
10,"AusSubCo 1",11111111111,111111111,"Supplier 7",19381374702,381374702,81215.00,"Purchase of Goods","2024-07-05 00:00:00","2024-08-01 00:00:00",NULL,NULL,NULL,NULL,INV-4793,"2024-07-06 00:00:00","2024-07-07 00:00:00",NULL,"2024-07-20 00:00:00",1,NULL,1,0,0,NULL,0,NULL,0,NULL,1,4,NULL,"2025-05-02 08:49:22","2025-05-02 08:49:22",1
